strategy,timeframe,composite,sortino,sharpe,calmar,trades_per_day,max_drawdown,total_return,n_trades,length,mult,rsi_window,rsi_lower,rsi_upper,atr_ratio_threshold,garch_window,vol_percentile,k,horizon,max_bars_back,kernel_lookback,kernel_alpha,ema_len,fast_window,slow_window,sl_stop,tp_stop
lorentzian_knn,4h,0.8798367712664953,0.9175934670976282,0.8394436525069627,0.8698876289178507,0.3946648426812585,0.1649536602956436,0.711105955398588,577,,,,,,,,,16,4,500,16,1.0,,,,0.03,
lorentzian_knn,4h,0.8795794108420572,1.0513197219541022,0.8380206535153918,0.692151086685996,1.0102599179206566,0.2241706474559589,0.7821339849975929,1477,,,,,,,,,8,8,500,4,0.5,,,,0.03,
lorentzian_knn,4h,0.8788048155487768,1.017406716275769,0.8640787422885906,0.7087283545063069,0.6395348837209303,0.2164573957897808,0.7713403925400145,935,,,,,,,,,16,4,500,8,0.5,,,,0.03,
lorentzian_knn,4h,0.8785477583840152,1.0029905333770357,0.8548116395442161,0.7363601772331203,0.4507523939808481,0.2204303018961878,0.8267738157711716,659,,,,,,,,,4,8,500,16,0.5,,,,0.05,
lorentzian_knn,4h,0.8761670158446845,0.948510893083655,0.8905980035191895,0.7652775251848853,0.3488372093023256,0.2041273024511135,0.7886573430967929,510,,,,,,,,,16,8,500,16,2.0,,,,0.03,
lorentzian_knn,4h,0.8745442982669285,0.922382591247642,0.848596089388695,0.8367081165042105,0.3960328317373461,0.1734867761019895,0.7211184551670935,579,,,,,,,,,16,4,500,16,0.5,,,,0.03,
lorentzian_knn,4h,0.8724941499717598,1.043836770791536,0.8787744210129519,0.6377570511708657,0.8303693570451436,0.2641501497671936,0.8657873768676908,1214,,,,,,,,,2,8,1000,8,1.0,,,,0.05,
lorentzian_knn,4h,0.8685373488505453,1.03586515194097,0.8712657941133353,0.6427051661338558,0.8392612859097127,0.2592649045041728,0.8540917144240981,1227,,,,,,,,,2,8,1000,8,0.5,,,,0.05,
lorentzian_knn,4h,0.860932822178532,1.0344224127810473,0.8661583602556501,0.624387829964727,0.6313269493844049,0.2305056497198628,0.7137076673681586,923,,,,,,,,,2,4,1000,16,0.5,,,,0.03,
lorentzian_knn,4h,0.8608389736437899,0.9805446029348894,0.8595012424110952,0.7025691991550185,0.5191518467852257,0.2062208595767891,0.7194731604860714,759,,,,,,,,,2,8,500,16,2.0,,,,0.03,
lorentzian_knn,4h,0.8604336572676523,1.0524692941132352,0.8442759663698424,0.620543832371352,0.8372093023255814,0.2344757038869509,0.7231944894819404,1224,,,,,,,,,2,8,1000,8,1.0,,,,0.03,
lorentzian_knn,4h,0.8602594676729818,1.0491615444521598,0.840966669991584,0.6276828296488085,0.8467852257181943,0.2305116053137125,0.7182927584459684,1238,,,,,,,,,2,8,1000,8,0.5,,,,0.03,
lorentzian_knn,4h,0.8584415731001855,0.986560071545358,0.8158853250987558,0.7301731565080519,0.8467852257181943,0.1958339722253514,0.708120054372015,1238,,,,,,,,,4,4,1000,8,0.5,,,,0.03,
lorentzian_knn,4h,0.8580371131442721,1.0551603441708706,0.7797819073307883,0.6734613442556243,1.3030095759233926,0.2215670799203609,0.745687536577544,1905,,,,,,,,,2,4,500,4,0.5,,,,0.03,
lorentzian_knn,4h,0.8580371131442721,1.0551603441708706,0.7797819073307883,0.6734613442556243,1.3030095759233926,0.2215670799203609,0.745687536577544,1905,,,,,,,,,2,4,500,4,1.0,,,,0.03,
lorentzian_knn,4h,0.8580371131442721,1.0551603441708706,0.7797819073307883,0.6734613442556243,1.3030095759233926,0.2215670799203609,0.745687536577544,1905,,,,,,,,,2,4,500,4,2.0,,,,0.03,
lorentzian_knn,4h,0.8566178833216591,0.9841426537530942,0.8004415068589409,0.7427612325424637,1.00547195622435,0.2019032340019177,0.7502499433459713,1470,,,,,,,,,16,4,500,4,1.0,,,,0.03,
lorentzian_knn,4h,0.8524940733087384,1.0482339431066616,0.8417520766179648,0.6022495769356143,0.8337893296853626,0.2406344407830586,0.7196991842443019,1219,,,,,,,,,2,8,1000,8,2.0,,,,0.03,
lorentzian_knn,4h,0.8523259228475205,0.9712625328181116,0.8230144258764975,0.7230552731910886,0.4528043775649795,0.2148639334661536,0.7833613358424669,662,,,,,,,,,4,8,500,16,2.0,,,,0.05,
lorentzian_knn,4h,0.8478088261137868,1.0265619335235767,0.8622577405563558,0.5950224351248311,0.63406292749658,0.2404380624315728,0.7085591032713751,927,,,,,,,,,2,4,1000,16,2.0,,,,0.03,
